score	sentence_1	sentence_2
0	Their contract will expire at 12:01 a.m. Wednesday instead of 12:01 a.m. Sunday, said Rian Wathen, organizing director for United Food and Commercial Workers Local 700.	It has outraged the membership, said Rian Wathen, organizing director of United Food and Commercial Workers Local 700.
1	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.	IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.
0	The technology-laced Nasdaq Composite Index .IXIC edged up 2.84 points, or 0.18 percent, at 1,593.59.	The broader Standard & Poor's 500 Index .SPX added 1.14 points, or 0.12 percent, at 968.14.
1	He adds: She started beating me with her hands about the head until I ran into the other room.	She started beating me with her hands about the head until I ran into the other room, Mr Gest says of one incident.
0	The S&P/TSX composite rose 87.74 points on the week, while the TSX Venture Exchange composite gained 44.49 points.	On the week, the Dow Jones industrial average rose 11.56 points, while the Nasdaq Stock Market gained 39.42 points.
1	The stock closed Friday at $5.91, down $1.24, or 17 percent, on the Nasdaq Stock Market.	Shares of Brocade closed at $5.91, down $1.24, or 17.3 percent.
1	A photograph of the doctor's son, Ariel, holding the guitar appeared in the National Enquirer two weeks after Harrison's death.	A picture of the doctor's son holding the guitar appeared in the National Enquirer just two weeks after George died.
1	State Rep. Ron Wilson, D-Houston, joined committee Republicans in voting for the map.	State Rep. Ron Wilson, a Houston Democrat, joined nine Republicans in approving the bill Saturday.
1	Cindy Yeast, a 50-year-old Washington-area publicist, says she began taking supplements two years ago in part to avoid mild dementia that affects her elderly parents.	She started taking supplements two years ago - partly to stave off mild dementia that affects her elderly parents.
1	A Commerce spokesman issued a brief statement late Friday, noting that the task force evaluated regions of the world that are vital to global energy supply.	The energy task force evaluated regions of the world that are vital to global energy supply, the statement said.
1	They named the man charged as Noureddinne Mouleff, a 36-year-old of North African origin who was arrested in the southern coastal town of Eastbourne last week.	Last week, Nur al-Din Muliff, a 36-year-old of North African origin, was arrested in the southern coastal town of Eastbourne.
1	The American Chamber of Commerce and InvestHK, which oversees investment into the territory, are talking to other bands to ask them to step in.	The American Chamber of Commerce and InvestHK, which oversees investment into the territory, is talking to other bands to replace the Stones.
0	The American conservatives are clearly in the minority within the Episcopal Church.	The letter indicates the Vatican's interest in bolstering conservatives within the Episcopal Church.
0	Mr Li, deputy chairman of Cheung Kong Holdings, is the son of Hong Kong billionaire Li Ka-shing.	Li is the deputy chairman of Cheung Kong (Holdings) Ltd. <0001.HK>.
0	The lawyer representing Torch Concepts, Rich Marsden did not respond to repeated phone calls.	Officials with Torch and JetBlue did not respond to repeated phone calls from the Mercury News seeking comment.
1	Clayton's shares were also suspended from trading on the New York Stock Exchange.	Clayton Homes' stock ceased trading on the New York Stock Exchange after Wednesday's close.
0	Both Estrada and Honasan have denied any involvement in the failed military rebellion.	Mr Estrada has denied any involvement in the plot.
0	Elsewhere in the diary, Truman showed a more familiar side, colorful and outspoken in his disdain for life in the White House.	History aside, the diary reveals a colorful, witty, introspective and irreverent president outspoken in his disdain for life in the White House.
1	There were, said board member and Nobel-prize winning Stanford physicist Douglas Osheroff, some extremely bad decisions.	Board member Douglas Osheroff, a Nobel-prize winning Stanford physicist, said: There were some extremely bad decisions.
0	After the war she spent three years in custody but tribunals cleared her of any wrongdoing.	After the war, she spent three years under Allied arrest.
1	The Cavaliers won the right Thursday to select James in the June 26 draft.	The Cleveland Cavaliers won the right to draft James by winning the NBA's annual lottery Thursday night.
1	They said: “We believe that the time has come for legislation to make public places smoke-free.	The time has come to make public places smoke-free, they wrote in a letter to the Times newspaper.
1	It also said it expects a civil complaint by the Securities and Exchange Commission.	Stewart also faces a separate investigation by the Securities and Exchange Commission.
0	Security forces stormed the building, but 129 hostages were killed along with the attackers.	Russian forces stormed the building to free the hostages but 129 people died in the operation.
1	Analysts attributed the increase in part to negative news from bankrupt competitor WorldCom Inc. WCOEQ.PK and talk that AT&T could be a takeover target.	Analysts attributed its rise to negative news from bankrupt competitor WorldCom Inc. <WCOEQ.PK> and talk that AT&T could be a takeover target, among other factors.
1	Late last year, for example, more than 1800 US soldiers were placed in Djibouti to conduct counter-terrorism operations in the Horn of Africa.	Since late last year, for example, more than 1,800 members of the American military have been placed in Djibouti to conduct counterterrorism operations in the Horn of Africa.
1	A $500 million natural-gas-fired power plant, for example, could replace up to $100 million in boilers yearly without adding new smog controls.	A $500 million coal-fired power plant, for example, could replace $100 million in equipment yearly without adding new pollution controls.
1	PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.	PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.
1	In trading on the New York Stock Exchange, Kraft shares fell 25 cents to close at $32.30.	Kraft's shares fell 25 cents to close at $32.30 yesterday on the New York Stock Exchange.
1	A prosecutor said investigators were searching his home in Muenster in the presence of his wife when news of his death arrived.	Investigators were searching his home in Muenster in the presence of his wife when news of his death came, prosecutor Wolfgang Schweer said.
1	Nearly 2,000 pages of transcripts were ordered to be made public after a legal action by the New York Times.	The emotional communications were made public after a legal skirmish between the authority and The New York Times.
1	Smith found the cigarette tax falls on the tobacco consumer, not the tribe, meaning the tribe is simply an agent for collecting a tax.	Smith ruled that the state's tax falls on the tobacco consumer, not the tribe, making the tribe simply an agent for collecting the tax.
1	Mr. Brendsel is expected to remain with the Freddie Mac Foundation.	Freddie expects Brendsel to continue serving as chair of the Freddie Mac Foundation.
1	Delta personnel at Hartsfield-Jackson International Airport were scrambling all day to find alternate flights -- even on other airlines, when necessary -- to move the inconvenienced passengers.	Delta personnel at Atlanta's Hartsfield-Jackson International Airport scrambled all day to find alternate flights -- including seats on other airlines -- to move the inconvenienced passengers.
1	At his sentencing, Avants had tubes in his nose and a portable oxygen tank beside him.	Avants, wearing a light brown jumpsuit, had tubes in his nose and a portable oxygen tank beside him.
0	The Senate's proposal will need the support of the Democrat-led Assembly and Pataki to become law.	Even if the Senate approves the proposals, they would require the support of the Democrat-led Assembly and Gov. George Pataki to become law.
1	The diocese reached a settlement in 2001 involving five priests and 26 plaintiffs for an undisclosed sum.	In 2001, the diocese reached a $15 million settlement involving five priests and 26 plaintiffs.
1	Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft/J.D. Edwards transaction, PeopleSoft responded.	In a public statement, a spokesperson said: Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft/J.D. Edwards transaction.
1	There is no need for one deadline for all to create the ASEAN Economic Community, Thaksin said.	Thus, he said, there did not have to one deadline to create the economic community.
1	Senate passage of the Medicare bill was almost certain, possibly as early as today.	Senate passage of the Medicare bill is almost certain Monday.
0	Cable high-speed lines increased 32.2 percent to 243,143.	For the full year, high-speed ADSL increased by 64 percent.
0	The parade, which moves west along Eastern Parkway in the Crown Heights section of Brooklyn, went through the district Davis represented.	The parade, which moved west along Eastern Parkway in Crown Heights past hundreds of thousands of spectators, went through the district that Davis represented.
0	He gave a surprisingly impassioned speech to the United Steelworkers of America, who announced their endorsement yesterday.	On Tuesday, he picked up the endorsement of the United Steelworkers of America.
1	He wants to kill him, but then I suppose I'd be that angry too if somebody tried to kill my old man, he said.	He's wild, he wants to kill him, but then I suppose I'd be that angry too if somebody tried to kill my old man.
1	Special, sensitive light sensors pick up the telltale glow, he said.	A sensitive light detector then looks for the telltale blue glow.
1	The SEC specifically advised IBM that this is a fact-finding investigation and that it has not reached any conclusions related to this matter, IBM said in a statement.	Big Blue says the SEC calls the action a fact-finding investigation and has not reached any conclusions related to this matter.
0	Yeager said the suspect in the Target attack showed tendencies of being a prior offender.	Yeager said the incident appeared to be isolated, but the suspect showed tendencies of being a prior offender.
1	It's probably not the easiest time to take over the shuttle program, he added, but I look forward to the challenge.	It is probably not the easiest time to come in and take over the shuttle program, but then again, I look forward to the challenge, he said.
0	But it is clear that the Joint Intelligence Committee was not involved.	This report was cleared by the Joint Intelligence Committee.
1	Biotech products, if anything, may be safer than conventional products because of all the testing, Fraley said.	Biotech products, if anything, may be safer than conventional products because of all the testing, said Robert Fraley, Monsanto's executive vice president.
0	It was developed with consultation from more than 300 leaders in academia, industry, government and the public.	The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia.
1	The tendency to feel rejection as an acute pain may have developed in humans as a defensive mechanism for the species, said Eisenberger.	Feeling rejection as an acute pain may have developed as a defence mechanism for the species, Eisenberger said.
0	Spot gold was quoted at $367.90/368.60 an ounce at 1000 GMT, having marched up to $369.50 -- a level not seen since February 10.	Spot gold was quoted at $358.65/359.15 an ounce at 0500 GMT, having darted as high as $359.25 -- a level not seen since February 25.
1	Their difference was over whether the court should pay attention to legal opinions of other world courts, such as the European Court of Human Rights.	Their difference was over whether the court should take into account the legal opinions of other world courts, like the European Court of Human Rights.
1	Belgium said Saturday it has decided to scrap a controversial war crimes law which has seen cases launched against President Bush and Israeli Prime Minister Ariel Sharon.	Belgium said yesterday that it has decided to scrap a war crimes law used to launch cases against President Bush and Prime Minister Ariel Sharon of Israel.
1	Sharon says he is willing to free the two as holding them will not bring back Arad, who Israel believes is held by Iran.	Sharon has said he is willing to free Dirani and Obeid because holding them will not bring back Arad, who Israel believes is held by Iran.
0	Making jokes about a mistake like that, that's not something good people do.	They feel so happy making jokes about a mistake like that, Sosa said.
1	Both figures were below consensus expectations, but August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fueling a dollar rally.	But August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fuelling a dollar rally.
1	A really robust program could be had for about 20 cents a day, Griffin said.	A really robust space program could be had for a mere 20 cents a day from each person, he said.
0	Police suspected that Shaichat, 20, had been abducted either by Palestinians or by Israeli Arabs.	Nobody claimed responsibility for Schaichat's death, but police suspect that the 20-year-old soldier was abducted either by Palestinians or Israeli Arabs.
1	Subsequently, some bondholders have filed suit to block the exchange offer.	Bondholders of Mirant Americas Generation subsequently filed suit against Mirant seeking to block the exchange offer.
1	The remains of three illegal immigrants were found Tuesday in a sweltering railroad car after fellow immigrants escaped and left behind their weakened companions.	Three undocumented immigrants were found dead inside a railroad hopper car Tuesday, two days after fellow immigrants escaped the sweltering car and left behind their weakened companions.
1	Sanchez de Lozada promised a referendum on a controversial gas project, a reform of a free market energy law and constitutional reforms.	Sanchez de Lozada promised a referendum on the gas project, a reform of energy laws and constitutional changes.
1	Mr. Rollins made $721,154 in salary and $243,389 in bonuses in the prior fiscal year.	Kevin Rollins, Dell's president, received $770,962 in salary and a bonus of just more than $2 million in fiscal 2003.
0	One way or another, Harry Potter And The Order Of The Phoenix will be in your hands by Saturday.	Just about everything about Harry Potter and the Order of the Phoenix will set records.
0	The San Jose-based company posted a net income of $64.2 million, or 27 cents per share, in the quarter ended May 30.	That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.
1	Overwhelmingly the Windows brand really resonated with them.	Windows was the part of the experience that really resonated with people.
1	Other changes in the plan refine his original vision, Libeskind said.	Many of the changes are improvements to the original plan, Libeskind said.
1	Additionally, the new Server Admin tool is intended to make it easy for system administrators to set up, manage and monitor the services built into Panther Server.	In addition, Apple's new Server Admin tool makes it easy for system administrators to set up, manage and monitor the complete set of services built into Panther Server.
0	The Securities and Exchange Commission brought a related civil case on Thursday.	The Securities and Exchange Commission filed a civil fraud suit against the teen in Boston.
1	The German financial regulator, BaFin, may prove critical of WestLB's risk assessment.	An investigation by BaFin, the German financial regulator, has condemned the bank's risk controls.
1	He would often call me for advice, said Ronald L. Kuby, a friend and well-known lawyer who had represented him in the harassment case.	He would often call me for advice, said lawyer Ron Kuby, a friend who had represented him in court.
1	Prisoners were tortured and executed -- their ears and scalps severed for souvenirs.	They frequently tortured and shot prisoners, severing ears and scalps for souvenirs.
0	With the power back on, state workers headed back to their jobs Friday morning.	Pataki said if power was restored, state workers would be back on the job Friday morning.
0	The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent.	The Swedish central bank cut interest rates by 50 basis points to 3.0 percent.
1	Nonetheless, the economy has yet to exhibit sustainable growth.	But the economy hasn't shown signs of sustainable growth.
0	Combined, the companies will have about $2.8 billion in annual revenues, 13,000 employees and more than 11,000 customers in 150 countries.	The deal creates a company with about $2.8bn in annual revenues with 13,000 employees and 11,000 customers.
1	While Bolton apparently fell and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.	After the other inmate fell, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.
